"","tract","Year","City","Community_Name","Detailed_Name","SPA","SD","CD","ca_ssd","ca_sad","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople"
"50",106603,"2017","Los Angeles","Granada Hills","Granada Hills North NC",2,5,12,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",106604,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,0,0,0,3,2,3,0,0,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
"52",106641,"2017","Los Angeles","Granada Hills","Granada Hills North NC",2,5,12,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",106642,"2017","Los Angeles","Granada Hills","Granada Hills North NC",2,5,12,18,38,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
"54",106643,"2017","Los Angeles","Granada Hills","Granada Hills North NC",2,5,12,18,38,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"55",106645,"2017","Los Angeles","Granada Hills","Granada Hills North NC",2,5,12,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",106646,"2017","Los Angeles","Granada Hills","Granada Hills North NC",2,5,12,18,39,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"57",106648,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",106649,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",107010,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
"60",107020,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"61",108101,"2017","Los Angeles","Porter Ranch","Porter Ranch NC",2,5,12,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",108102,"2017","Los Angeles","Porter Ranch","Porter Ranch NC",2,5,12,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",108103,"2017","Los Angeles","Porter Ranch","Porter Ranch NC",2,5,12,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",108104,"2017","Los Angeles","Porter Ranch","Porter Ranch NC",2,5,12,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",108201,"2017","Los Angeles","Porter Ranch","Porter Ranch NC",2,5,12,27,38,1,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
"66",108202,"2017","Los Angeles","Porter Ranch","Porter Ranch NC",2,5,12,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",109100,"2017","Los Angeles","Mission Hills","Mission Hills NC",2,3,7,18,39,13,0,0,2,0,0,0,10,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
"68",109200,"2017","Los Angeles","Granada Hills","Granada Hills North NC",2,3,12,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",109300,"2017","Los Angeles","Granada Hills","Granada Hills North NC",2,3,12,18,39,15,1,3,7,2,8,0,3,11,4,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,55
"70",109400,"2017","Los Angeles","Mission Hills","Mission Hills NC",2,3,7,18,39,1,0,0,2,0,2,4,5,3,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25
"71",109500,"2017","Los Angeles","Mission Hills","Mission Hills NC",2,3,7,18,39,18,0,0,2,0,21,6,3,3,0,44,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,81
"72",109601,"2017","Los Angeles","Mission Hills","Mission Hills NC",2,3,7,18,39,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
"73",109603,"2017","Los Angeles","Mission Hills","Mission Hills NC",2,3,7,18,39,3,0,0,10,7,7,0,2,16,13,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50
"74",109604,"2017","Los Angeles","Mission Hills","Mission Hills NC",2,3,7,18,39,14,0,0,2,0,0,2,7,3,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34
"75",109700,"2017","Los Angeles","Granada Hills","Granada Hills South NC",2,3,12,18,38,6,0,0,2,0,1,0,1,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
"76",109800,"2017","Los Angeles","North Hills","North Hills West NC",2,3,12,18,46,0,0,0,1,1,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
"77",111100,"2017","Los Angeles","Granada Hills","Granada Hills South NC",2,5,12,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",111201,"2017","Los Angeles","Granada Hills","Granada Hills South NC",2,5,12,18,38,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"79",111202,"2017","Los Angeles","Granada Hills","Granada Hills South NC",2,5,12,18,38,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
"80",111204,"2017","Los Angeles","Northridge","Northridge West NC",2,5,12,27,38,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"81",111205,"2017","Los Angeles","Northridge","Northridge East NC",2,5,12,18,45,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"82",111206,"2017","Los Angeles","Northridge","Northridge East NC",2,5,12,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",111301,"2017","Los Angeles","Granada Hills","Granada Hills South NC",2,5,12,18,38,3,0,0,0,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
"84",111302,"2017","Los Angeles","Northridge","Northridge East NC",2,5,12,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",111400,"2017","Los Angeles","Granada Hills","Granada Hills South NC",2,5,12,18,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"86",113101,"2017","Los Angeles","Chatsworth","Chatsworth NC",2,5,12,27,38,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"87",113102,"2017","Los Angeles","Chatsworth","Chatsworth NC",2,5,12,27,38,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
"88",113211,"2017","Los Angeles","Chatsworth","Chatsworth NC",2,5,12,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",113212,"2017","Los Angeles","Chatsworth","Chatsworth NC",2,5,12,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",113213,"2017","Los Angeles","Chatsworth","Chatsworth NC",2,5,12,27,38,0,0,0,2,1,4,0,0,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
"91",113231,"2017","Los Angeles","West Hills","West Hills NC",2,5,12,27,45,0,0,0,2,0,4,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
"92",113232,"2017","Los Angeles","West Hills","West Hills NC",2,5,12,27,45,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
"93",113233,"2017","Los Angeles","Canoga Park","Canoga Park NC",2,5,3,27,45,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
"94",113234,"2017","Los Angeles","Canoga Park","Canoga Park NC",2,3,3,27,45,0,0,0,0,1,3,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
"95",113235,"2017","Los Angeles","Chatsworth","Chatsworth NC",2,5,3,27,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",113237,"2017","Los Angeles","Chatsworth","Chatsworth NC",2,5,12,27,45,0,0,0,2,2,15,5,0,3,4,31,9,0,0,0,63,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,180,0,0,180,227
