STATE_FIPS,CNTY_FIPS,STCOFIPS,Tract,FIPS,SQMI,Jurisdiction,Year,Opt In,Counted,Opt In Name,City,Community Name,Community Type,Region ID,Region Name,Region,Alias,Street Singles,Street Family,Street_UYouth,Cars,Vans,Campers,Tents,Encampments,Units,Car People,VanPeople,Camper People,Tent People,Encamp People,YouthCount15,YouthCount13,ES_Single,ES_Family,ES_UYouth,TH_Singles,TH_Family,TH_UYouth,Street Count,Unsheltered,ES_People,TH_People,Sheltered,Individual,Family Members,Unaccompanied,2015_Total,2015Total_woYouth
6,37,6037,310400,6037310400,0.54,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,2
6,37,6037,310500,6037310500,1.65,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,3,0,0,0,0,4,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,10,10
6,37,6037,310600,6037310600,0.74,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0,43,43,4,39,0,43,43
6,37,6037,310701,6037310701,0.2,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,5,5
6,37,6037,310702,6037310702,0.41,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,11,0,0,1,0,1,0,0,2,1,0,2,0,0,9,0,0,0,0,0,0,0,14,23,0,0,0,14,0,0,23,14
6,37,6037,310703,6037310703,0.39,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,6,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,8,0,0,8,8
6,37,6037,310800,6037310800,0.83,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,1,0,0,2,3,1,0,0,6,3,5,2,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,11,0,0,11,11
6,37,6037,310900,6037310900,0.83,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,1,1,1,0,2,5,1,2,2,0,4,3,0,0,0,0,0,0,0,9,12,0,0,0,9,0,0,12,9
6,37,6037,311000,6037311000,0.51,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,2
6,37,6037,311100,6037311100,0.66,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1
6,37,6037,311200,6037311200,0.38,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,311300,6037311300,0.47,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1
6,37,6037,311400,6037311400,0.36,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,311500,6037311500,0.58,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,1,1,0,0,2,0,2,2,0,0,9,0,0,0,0,0,0,0,4,13,0,0,0,4,0,0,13,4
6,37,6037,311600,6037311600,1.1,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,2
6,37,6037,311700,6037311700,0.91,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,4,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,7,0,0,7,7
6,37,6037,311800,6037311800,0.55,Burbank,2015,Yes,Yes,Burbank,Burbank,Burbank,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1
6,37,6037,320000,6037320000,0.48,Universal City,2015,No,No,Universal City,Unincorporated,Universal City,Unincorporated,SPA 5,Service Planning Area 5,West Los Angeles,SPA 5-West Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0
6,37,6037,320100,6037320100,0.74,San Fernando,2015,Yes,Yes,San Fernando,San Fernando,San Fernando,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,4,4
6,37,6037,320200,6037320200,0.99,San Fernando,2015,Yes,Yes,San Fernando,San Fernando,San Fernando,City,SPA 2,Service Planning Area 2,San Fernando Valley,SPA 2-San Fernando Valley,0,0,0,0,1,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,4,4
